cellular organisms	archaea	tack group	crenarchaeota							
cellular organisms	archaea	tack group	candidatus korarchaeota							
cellular organisms	archaea	tack group	candidatus bathyarchaeota							
cellular organisms	bacteria	acidobacteria								
cellular organisms	bacteria	aquificae								
cellular organisms	bacteria	caldiserica/cryosericota group								
cellular organisms	bacteria	calditrichaeota								
cellular organisms	bacteria	chrysiogenetes								
cellular organisms	bacteria	coprothermobacterota								
cellular organisms	bacteria	deferribacteres								
cellular organisms	bacteria	dictyoglomi								
cellular organisms	bacteria	elusimicrobia								
cellular organisms	bacteria	fcb group	bacteroidetes/chlorobi group							
cellular organisms	bacteria	fcb group	gemmatimonadetes							
cellular organisms	bacteria	fcb group	candidatus marinimicrobia							
cellular organisms	bacteria	fcb group	candidatus kryptonia							
cellular organisms	bacteria	fcb group	fibrobacteres							
cellular organisms	bacteria	fcb group	candidatus cloacimonetes							
cellular organisms	bacteria	fcb group	candidate division zixibacteria							
cellular organisms	bacteria	fusobacteria								
cellular organisms	bacteria	nitrospinae/tectomicrobia group								
cellular organisms	bacteria	nitrospirae								
cellular organisms	bacteria	proteobacteria	delta/epsilon subdivisions							
cellular organisms	bacteria	proteobacteria	betaproteobacteria							
cellular organisms	bacteria	proteobacteria	oligoflexia							
cellular organisms	bacteria	proteobacteria	alphaproteobacteria							
cellular organisms	bacteria	proteobacteria	gammaproteobacteria							
cellular organisms	bacteria	proteobacteria	zetaproteobacteria							
cellular organisms	bacteria	proteobacteria	acidithiobacillia							
cellular organisms	bacteria	proteobacteria	hydrogenophilalia							
cellular organisms	bacteria	pvc group	chlamydiae							
cellular organisms	bacteria	pvc group	planctomycetes							
cellular organisms	bacteria	pvc group	verrucomicrobia							
cellular organisms	bacteria	pvc group	kiritimatiellaeota							
cellular organisms	bacteria	pvc group	lentisphaerae							
cellular organisms	bacteria	pvc group	candidatus omnitrophica							
cellular organisms	bacteria	spirochaetes								
cellular organisms	bacteria	synergistetes								
cellular organisms	bacteria	terrabacteria group	cyanobacteria/melainabacteria group							
cellular organisms	bacteria	terrabacteria group	actinobacteria							
cellular organisms	bacteria	terrabacteria group	firmicutes							
cellular organisms	bacteria	terrabacteria group	deinococcus-thermus							
cellular organisms	bacteria	terrabacteria group	chloroflexi							
cellular organisms	bacteria	terrabacteria group	armatimonadetes							
cellular organisms	bacteria	terrabacteria group	tenericutes							
cellular organisms	bacteria	terrabacteria group	abditibacteriota							
cellular organisms	bacteria	thermodesulfobacteria								
cellular organisms	bacteria	thermotogae								
viruses										
